"6","Blockbuster movie Avatar has retaken the highest-grossing film of all time. The sci-fi epic debuted in 2009 and held the global box office title for a decade until it was overtaken by Marvel's Avengers: Endgame in 2019.","EXTQ","2","22"
"7","Disney owns both films after the company bought entertainment assets from Fox in 2019. It also owns the Titanic movie, which is third on the list of highest-grossing movies.","EXTQ",NULL,"22"
"8","Chinese movie theatres have been open for several months now since pandemic-led shutdowns, and local movies have also been enjoying some of their strongest box-office sales ever.","EXTQ",NULL,"22"
"9","Bolivian Energy Minister Rafael Alarcon said Friday that Chinese company Sinohydro has won a tender to build the Ivirizu hydroelectric dam.","PARM",NULL,"18"
"10","The Ivirizu project will be developed over four years, with an investment of over 550 million U.S. dollars to bring 279.9 megawatts to the national grid once completed. The complex will have two hydroelectric power plants -- Sehuencas, which will produce 188.62MW, and Pelton, which will generate 64MW.","PARM",NULL,"18"
"11","A total of five working groups will build the dam itself as well as tunnels, while installing hydromechanical equipment and setting up transmission lines, Alarcon said in the city of Cochabamba.","EXTQ",NULL,"18"
"12","The construction has been given a budget of 190 million dollars, he added.","EXTQ",NULL,"18"
"13","China’s government has asked Alibaba Group Holding Ltd to dispose of its media assets

officials were shocked at how expansive Alibaba’s media interests have become","PARM",NULL,"26"
"14","The company, whose mainstay business is online retail, has stakes in the Twitter-like Weibo platform and several news outlets including the South China Morning Post

Such influence is seen as posing serious challenges to the Chinese Communist Party and its own powerful propaganda apparatus","PARM",NULL,"26"
"15","Mexico on Monday auctioned eight out of ten deep water oil and gas blocks up for grabs in the Gulf of Mexico, and scored a joint venture for a major crude field in the most hotly-anticipated round of the country’s energy opening so far. China’s Offshore Oil Corporation took two of the eight blocks.","PARM",NULL,"6"
"16","Almost 1.2 billion of those were areas rich in most-valuable light and super light crude secured by China Offshore, a unit of the Chinese giant CNOOC, in the Perdido Fold Belt, where output on the U.S. side of the formation has been booming for years.","PARM",NULL,"6"
