"6","Blockbuster movie Avatar has retaken the highest-grossing film of all time. The sci-fi epic debuted in 2009 and held the global box office title for a decade until it was overtaken by Marvel's Avengers: Endgame in 2019.","EXTQ",NULL,"22"
"7","Disney owns both films after the company bought entertainment assets from Fox in 2019. It also owns the Titanic movie, which is third on the list of highest-grossing movies.","EXTQ",NULL,"22"
"8","Chinese movie theatres have been open for several months now since pandemic-led shutdowns, and local movies have also been enjoying some of their strongest box-office sales ever.","EXTQ",NULL,"22"
"9","Bolivian Energy Minister Rafael Alarcon said Friday that Chinese company Sinohydro has won a tender to build the Ivirizu hydroelectric dam.","PARM",NULL,"18"
"10","The Ivirizu project will be developed over four years, with an investment of over 550 million U.S. dollars to bring 279.9 megawatts to the national grid once completed. The complex will have two hydroelectric power plants -- Sehuencas, which will produce 188.62MW, and Pelton, which will generate 64MW.","PARM",NULL,"18"
"11","A total of five working groups will build the dam itself as well as tunnels, while installing hydromechanical equipment and setting up transmission lines, Alarcon said in the city of Cochabamba.","EXTQ",NULL,"18"
"12","The construction has been given a budget of 190 million dollars, he added.","EXTQ",NULL,"18"
"13","China’s government has asked Alibaba Group Holding Ltd to dispose of its media assets

officials were shocked at how expansive Alibaba’s media interests have become","PARM",NULL,"26"
"14","The company, whose mainstay business is online retail, has stakes in the Twitter-like Weibo platform and several news outlets including the South China Morning Post

Such influence is seen as posing serious challenges to the Chinese Communist Party and its own powerful propaganda apparatus","PARM",NULL,"26"
"15","Mexico on Monday auctioned eight out of ten deep water oil and gas blocks up for grabs in the Gulf of Mexico, and scored a joint venture for a major crude field in the most hotly-anticipated round of the country’s energy opening so far. China’s Offshore Oil Corporation took two of the eight blocks.","PARM",NULL,"6"
"16","Almost 1.2 billion of those were areas rich in most-valuable light and super light crude secured by China Offshore, a unit of the Chinese giant CNOOC, in the Perdido Fold Belt, where output on the U.S. side of the formation has been booming for years.","PARM",NULL,"6"
"17","The government of the People's Republic of China, in conjunction with the Export-Import Bank of China, has entered a financial arrangement with T&T to provide $210 million for the completion of infrastructural (remedial) works on the National Academy for the Performing Arts (NAPA) in Port-of-Spain.","PARM",NULL,"10"
"18","The revelation was made on Monday by Minister of Foreign Affairs Dr Surujrattan Rambachan at the signing of the framework agreement for the provision of a concessional loan, at the International Waterfront Centre on Wrightson Road, Port-of-Spain.The academy, which was officially unveiled less two years ago (November 9, 2009) by the former government and the Urban Development Corporation of Trinidad and Tobago Ltd (Udecott), had cost taxpayers close to $500 million.","EXTQ","2","10"
"19","Assistant minister of the Ministry of Commerce in the People's Republic of China, Li Rongcan, said while he commended T&T on its formal opening of the Commonwealth Heads of Government Meeting (CHOGM) at NAPA, he noted that both the Port-of-Spain and San Fernando academies (the latter now under construction) could aid in fostering cultural cohesion between the two nations as they forged to strengthen diplomatic relations.","EXTQ",NULL,"10"
"20","Asked about his government's newly-found appreciation for NAPA, having cited it in his address as a ""world-class facility,"" Rambachan noted that the People's Partnership's earlier criticism of the centre was based primarily on its improper timing.","EXTQ",NULL,"10"
